"Creative Commons Licence by attribution (https://creativecommons.org/licenses/by/4.0/). Climate Change Initiative - European Space Agency, These data were produced by the University of Reading as part of the ESA CCI project. (https://surftemp.net)"
"Time series of 5-day sea surface_temperature averaged across ocean surface within latitudes 38.00 and 40.00 and longitudes 2.00 and 4.00, in kelvin and degree Celsius. "
year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
1982,4,3,288.11770,14.96769664997771,0.39822,0.00000
1982,4,8,288.62466,15.47465877578793,0.37687,0.00000
1982,4,13,288.87558,15.725578867545039,0.41482,0.00000
1982,4,18,289.04878,15.898781881384537,0.39578,0.00000
1982,4,23,289.40280,16.252801545922125,0.34395,0.00000
1982,4,28,289.49742,16.347418580551846,0.36151,0.00000
1982,5,3,289.81459,16.664587554067168,0.35001,0.00000
1982,5,8,289.80433,16.654326298127955,0.56219,0.00000
1982,5,13,290.06493,16.914929758200856,0.35596,0.00000
1982,5,18,291.50075,18.350748374353827,0.42362,0.00000
1982,5,23,292.46803,19.31803184864549,0.40344,0.00000
1982,5,28,292.55465,19.404648405470255,0.59250,0.00000
1982,6,3,293.73450,20.584503531219013,0.51868,0.00000
1982,6,8,295.04955,21.899549906047355,0.42418,0.00000
1982,6,13,295.86009,22.710087846225974,0.42080,0.00000
1982,6,18,296.00213,22.852128536076748,0.41064,0.00000
1982,6,23,295.97176,22.821758061292314,0.56563,0.00000
1982,6,28,297.32978,24.17977671625971,0.36918,0.00000
1982,7,3,297.40404,24.25404238986897,0.42435,0.00000
1982,7,8,298.50243,25.352429221108707,0.40796,0.00000
1982,7,13,299.27806,26.12806083977074,0.42052,0.00000
1982,7,18,299.45863,26.30863380625169,0.41179,0.00000
1982,7,23,300.22186,27.071864411218826,0.38081,0.00000
1982,7,28,299.70490,26.55489720370815,0.41923,0.00000
1982,8,3,299.48767,26.337665705262054,0.39519,0.00000
1982,8,8,299.41167,26.261666404748212,0.40322,0.00000
1982,8,13,299.20002,26.050023934584544,0.40492,0.00000
1982,8,18,299.62297,26.472972367771717,0.39765,0.00000
1982,8,23,298.75909,25.609088829932716,0.41480,0.00000
1982,8,28,298.50730,25.357296097784513,0.44403,0.00000
1982,9,3,297.87707,24.72707040703159,0.44206,0.00000
1982,9,8,297.72333,24.57332860920195,0.33236,0.00000
1982,9,13,297.48568,24.335676043641286,0.35598,0.00000
1982,9,18,297.13690,23.98689857029484,0.35462,0.00000
1982,9,23,297.59406,24.444064447789685,0.39853,0.00000
1982,9,28,297.19588,24.045883021213456,0.65752,0.00000
1982,10,3,297.42708,24.2770828491673,0.38418,0.00000
1982,10,8,296.59188,23.44187747046493,0.35198,0.00000
1982,10,13,295.80501,22.655010930384606,0.36423,0.00000
1982,10,18,295.07086,21.920860862264703,0.57545,0.00000
1982,10,23,294.33958,21.18957905626894,0.47800,0.00000
1982,10,28,293.61297,20.462970285390895,0.40870,0.00000
1982,11,3,293.27759,20.127591049268972,0.34211,0.00000
1982,11,8,292.92744,19.7774383791388,0.45091,0.00000
1982,11,13,292.89597,19.745974365649204,0.56101,0.00000
1982,11,18,291.88321,18.733213823166636,0.36218,0.00000
1982,11,23,291.30304,18.15304059650265,0.43908,0.00000
1982,11,28,290.50098,17.350984669745742,0.54983,0.00000
1982,12,3,289.94410,16.79409973604845,0.35870,0.00000
1982,12,8,289.74162,16.591624130716582,0.29398,0.00000
1982,12,13,289.19718,16.04718341851492,0.23914,0.00000
1982,12,18,288.62085,15.470852012779517,0.25578,0.00000
1982,12,23,288.13551,14.985510770547592,0.34153,0.00000
1982,12,28,288.00397,14.853968860204873,0.23133,0.00000
1983,1,3,287.71515,14.565145613704658,0.23839,0.00000
1983,1,8,287.59379,14.443787180139225,0.27623,0.00000
1983,1,13,287.52180,14.371803920432967,0.27445,0.00000
1983,1,18,287.64695,14.496947912405915,0.24216,0.00000
1983,1,23,287.28772,14.137724263028929,0.21625,0.00000
1983,1,28,287.20120,14.051196795878923,0.23169,0.00000
1983,2,3,287.43238,14.282380093025608,0.28404,0.00000
1983,2,8,286.82742,13.677417626101203,0.39478,0.00000
1983,2,13,286.79896,13.64895956215554,0.46091,0.00000
1983,2,18,286.71597,13.565967344957528,0.29694,0.00000
1983,2,23,286.82441,13.674413386453011,0.39863,0.00000
1983,2,27,287.15669,14.006689989451502,0.21466,0.00000
1983,3,3,287.29491,14.144912426268661,0.36195,0.00000
1983,3,8,287.40847,14.258465205903178,0.37095,0.00000
1983,3,13,287.24084,14.090844715831054,0.32717,0.00000
1983,3,18,287.42731,14.277311357690394,0.34009,0.00000
1983,3,23,287.90206,14.752064710263085,0.47078,0.00000
1983,3,28,287.43985,14.289847128536564,0.38131,0.00000
1983,4,3,287.58224,14.4322380226115,0.33051,0.00000
1983,4,8,287.83120,14.681196297225142,0.33087,0.00000
1983,4,13,288.40914,15.259141617682815,0.36071,0.00000
1983,4,18,288.77163,15.621625740951004,0.49616,0.00000
1983,4,23,289.06381,15.913806818690261,0.32587,0.00000
1983,4,28,289.40906,16.259058294693546,0.48400,0.00000
1983,5,3,289.83749,16.687490483319436,0.32111,0.00000
1983,5,8,290.47558,17.325575753290423,0.45133,0.00000
1983,5,13,291.33068,18.18067713357948,0.42394,0.00000
1983,5,18,291.19582,18.045820791957908,0.46365,0.00000
1983,5,23,291.35456,18.204555508774263,0.43163,0.00000
1983,5,28,291.45147,18.301473921854836,0.35593,0.00000
1983,6,3,292.76436,19.61436448167018,0.45791,0.00000
1983,6,8,292.73756,19.58755660876011,0.45906,0.00000
1983,6,13,294.34024,21.190243541712334,0.45244,0.00000
1983,6,18,294.63772,21.487715956876457,0.47832,0.00000
1983,6,23,294.70915,21.55915209671116,0.54244,0.00000
1983,6,28,295.44095,22.290945072097486,0.44565,0.00000
1983,7,3,296.20880,23.058803897532584,0.47798,0.00000
1983,7,8,297.59791,24.44791316387017,0.45408,0.00000
1983,7,13,299.53708,26.38708000805292,0.42148,0.00000
1983,7,18,299.90479,26.75478848540746,0.59302,0.00000
1983,7,23,299.57641,26.426408603505934,0.41619,0.00000
1983,7,28,298.96070,25.810701012321204,0.85778,0.00000
1983,8,3,299.08628,25.936280204119157,0.71490,0.00000
1983,8,8,298.56451,25.41450981916904,0.54605,0.00000
1983,8,13,298.84787,25.697865438255462,0.40326,0.00000
1983,8,18,298.80336,25.653358858369984,0.38264,0.00000
1983,8,23,298.37339,25.223393576619287,0.46426,0.00000
1983,8,28,297.84664,24.696640718738365,0.52985,0.00000
1983,9,3,298.32974,25.179741076319374,0.33266,0.00000
1983,9,8,298.36776,25.21775532657199,0.32325,0.00000
1983,9,13,297.91538,24.76538455867035,0.34046,0.00000
1983,9,18,297.57845,24.4284454066173,0.33159,0.00000
1983,9,23,297.44158,24.29157767185353,0.80863,0.00000
1983,9,28,297.24085,24.090845664267817,0.35706,0.00000
1983,10,3,297.03037,23.880365616068786,0.31344,0.00000
1983,10,8,296.70785,23.55785346645382,0.33827,0.00000
1983,10,13,296.55073,23.400729999113537,0.32510,0.00000
1983,10,18,296.17216,23.02216029749752,0.36918,0.00000
1983,10,23,295.55245,22.40244920811267,0.31591,0.00000
1983,10,28,294.66664,21.516636798824322,0.32392,0.00000
1983,11,3,293.95796,20.807962510885773,0.35670,0.00000
1983,11,8,293.29672,20.146717778637594,0.35189,0.00000
1983,11,13,293.27871,20.128707358355484,0.36730,0.00000
1983,11,18,292.71401,19.56400889047643,0.47598,0.00000
1983,11,23,292.29355,19.1435511741214,0.40815,0.00000
1983,11,28,292.02320,18.873200235742615,0.41595,0.00000
1983,12,3,291.46738,18.317377490703223,0.22763,0.00000
1983,12,8,290.76355,17.61354575183225,0.21563,0.00000
1983,12,13,290.41254,17.262535126872365,0.31239,0.00000
1983,12,18,289.70848,16.558480711846414,0.25285,0.00000
1983,12,23,289.26763,16.117631449714906,0.21061,0.00000
1983,12,28,288.97959,15.829586943142033,0.21091,0.00000
1984,1,3,288.71356,15.563556368185743,0.23960,0.00000
1984,1,8,288.39731,15.24731433378065,0.28182,0.00000
1984,1,13,288.11683,14.966829535466161,0.25490,0.00000
1984,1,18,287.93957,14.789570007534792,0.21863,0.00000
1984,1,23,287.97107,14.821065435837511,0.27269,0.00000
1984,1,28,287.81934,14.669342556558263,0.28855,0.00000
1984,2,3,287.60007,14.45007275727329,0.25978,0.00000
1984,2,8,287.54340,14.393396540095125,0.27473,0.00000
1984,2,13,287.35743,14.207433650373844,0.26590,0.00000
1984,2,18,287.39411,14.244110826367319,0.33586,0.00000
1984,2,23,287.23267,14.082670880953572,0.46091,0.00000
1984,2,27,286.95500,13.805003346471267,0.40766,0.00000
1984,3,3,286.95032,13.80031891438665,0.31596,0.00000
1984,3,8,286.80260,13.65259894199886,0.32244,0.00000
1984,3,13,286.62862,13.478623805411814,0.34081,0.00000
1984,3,18,286.65553,13.50552944513987,0.34184,0.00000
1984,3,23,286.90985,13.759848390543766,0.33398,0.00000
1984,3,28,287.32746,14.177462709051838,0.33922,0.00000
1984,4,3,287.77310,14.623097006046407,0.36921,0.00000
1984,4,8,288.27309,15.123094996830218,0.30957,0.00000
1984,4,13,288.76551,15.615506393403791,0.41245,0.00000
1984,4,18,288.70232,15.552321964275222,0.31916,0.00000
1984,4,23,288.75212,15.60212129730428,0.31061,0.00000
1984,4,28,289.69663,16.546625728629976,0.45950,0.00000
1984,5,3,290.01516,16.865157223578308,0.32977,0.00000
1984,5,8,290.25519,17.105186125843943,0.66450,0.00000
1984,5,13,289.97819,16.82818850452378,0.52236,0.00000
1984,5,18,289.97631,16.82630832625233,0.41969,0.00000
1984,5,23,289.80075,16.65074598363475,0.39453,0.00000
1984,5,28,290.60299,17.4529908765291,0.43268,0.00000
1984,6,3,290.84126,17.69125846493165,0.60966,0.00000
1984,6,8,291.33624,18.186241438601883,0.42363,0.00000
1984,6,13,292.61444,19.464443679168426,0.37386,0.00000
1984,6,18,293.53376,20.383755680913964,0.79221,0.00000
1984,6,23,293.74222,20.59222194310331,0.40171,0.00000
1984,6,28,294.41350,21.263497134906572,0.37518,0.00000
1984,7,3,295.46314,22.313137244861423,0.62522,0.00000
1984,7,8,295.71534,22.56533854765877,0.39476,0.00000
1984,7,13,296.45054,23.300538035096054,0.46476,0.00000
1984,7,18,296.86478,23.714777563979283,0.41704,0.00000
1984,7,23,296.64660,23.496600643474608,0.43919,0.00000
1984,7,28,297.48983,24.339827696277496,0.39180,0.00000
1984,8,3,297.94084,24.79083687744037,0.37950,0.00000
1984,8,8,297.74908,24.59908380296946,0.37215,0.00000
1984,8,13,297.50668,24.356683453847268,0.40397,0.00000
1984,8,18,298.04770,24.897695810241373,0.38320,0.00000
1984,8,23,297.99940,24.849399827992954,0.39529,0.00000
1984,8,28,298.15730,25.007301116240967,0.40988,0.00000
1984,9,3,297.98905,24.83905314705163,0.34879,0.00000
1984,9,8,297.38634,24.236343049748825,0.37822,0.00000
1984,9,13,297.17500,24.024996606773527,0.38088,0.00000
1984,9,18,296.88482,23.734817459526766,0.37047,0.00000
1984,9,23,296.76678,23.616781974535968,0.34147,0.00000
1984,9,28,296.36366,23.213660098461105,0.42868,0.00000
1984,10,3,295.62578,22.475784857133135,0.49947,0.00000
1984,10,8,294.59852,21.448522045618972,0.39859,0.00000
1984,10,13,293.68420,20.534196114762324,0.31821,0.00000
1984,10,18,293.55424,20.40423936804308,0.34927,0.00000
1984,10,23,293.68640,20.53640285408926,0.34279,0.00000
1984,10,28,293.24191,20.091913600182124,0.33702,0.00000
1984,11,3,293.14996,19.99996096052024,0.41265,0.00000
1984,11,8,292.49973,19.349728191141935,0.55175,0.00000
1984,11,13,292.18421,19.034213427509997,0.70050,0.00000
1984,11,18,291.92891,18.778905331898216,0.44023,0.00000
1984,11,23,291.14781,17.997812139539974,0.33012,0.00000
1984,11,28,290.71142,17.56141555778794,0.33641,0.00000
1984,12,3,290.32706,17.17705564799826,0.25746,0.00000
1984,12,8,289.97910,16.829096276135772,0.28231,0.00000
1984,12,13,289.55486,16.40485592165055,0.23616,0.00000
1984,12,18,289.38391,16.233909063525857,0.30047,0.00000
1984,12,23,289.07115,15.921152964131068,0.31951,0.00000
1984,12,28,288.54982,15.399822635223927,0.38419,0.00000
1985,1,3,288.10931,14.959314451496425,0.35053,0.00000
1985,1,8,287.68601,14.536005622336575,0.34243,0.00000
1985,1,13,287.35406,14.204062422413529,0.41079,0.00000
1985,1,18,286.93972,13.789723584239653,0.25143,0.00000
1985,1,23,287.04652,13.896515019727872,0.30999,0.00000
1985,1,28,287.06540,13.915402103370013,0.25178,0.00000
1985,2,3,286.93186,13.781863656078656,0.23498,0.00000
1985,2,8,287.07383,13.923825901457633,0.37884,0.00000
1985,2,13,287.36519,14.21519465061806,0.37353,0.00000
1985,2,18,287.08590,13.935897541486042,0.24928,0.00000
1985,2,23,287.12346,13.973456976091484,0.34604,0.00000
1985,2,27,287.00346,13.853464343863436,0.22071,0.00000
1985,3,3,287.27521,14.125213760173438,0.36362,0.00000
1985,3,8,287.05567,13.90566937735332,0.51936,0.00000
1985,3,13,286.88708,13.737075921424719,0.51427,0.00000
1985,3,18,286.91506,13.765055148882993,0.36961,0.00000
1985,3,23,286.85888,13.708878868321278,0.33441,0.00000
1985,3,28,287.38276,14.232764047338492,0.34127,0.00000
1985,4,3,287.45928,14.309278560716564,0.30410,0.00000
1985,4,8,287.92539,14.775390617048515,0.49257,0.00000
1985,4,13,288.58770,15.437698525823862,0.30888,0.00000
1985,4,18,288.61524,15.465241434743064,0.30614,0.00000
1985,4,23,288.62572,15.475716405340052,0.34989,0.00000
1985,4,28,289.15190,16.001901491466526,0.46077,0.00000
1985,5,3,290.09971,16.949708190006675,0.42216,0.00000
1985,5,8,289.89572,16.745724451462536,0.48000,0.00000
1985,5,13,289.98175,16.8317495277297,0.59419,0.00000
1985,5,18,290.45883,17.308829286865944,0.55989,0.00000
1985,5,23,290.82244,17.672439793516787,0.42117,0.00000
1985,5,28,291.81848,18.66847959408642,0.37789,0.00000
1985,6,3,292.67426,19.524255072180893,0.57038,0.00000
1985,6,8,294.03171,20.88170980106827,0.39958,0.00000
1985,6,13,294.22929,21.079289864717225,0.39435,0.00000
1985,6,18,294.59188,21.44188317699337,0.39669,0.00000
1985,6,23,294.74867,21.59866731840617,0.39218,0.00000
1985,6,28,295.44457,22.29456818737731,0.37054,0.00000
1985,7,3,295.71773,22.567728177507774,0.50961,0.00000
1985,7,8,296.68034,23.53034167717533,0.41283,0.00000
1985,7,13,297.52356,24.373561857316588,0.38117,0.00000
1985,7,18,297.78463,24.63462562658151,0.38336,0.00000
1985,7,23,298.60586,25.45585669642975,0.36305,0.00000
1985,7,28,298.83447,25.684470257553983,0.43809,0.00000
1985,8,3,298.48209,25.33208807599061,0.37199,0.00000
1985,8,8,298.06855,24.91854556043046,0.39827,0.00000
1985,8,13,298.32136,25.171359511582807,0.36353,0.00000
1985,8,18,299.02636,25.876355782107908,0.37080,0.00000
1985,8,23,299.16938,26.0193804096524,0.36036,0.00000
1985,8,28,298.96118,25.81118299628281,0.37857,0.00000
1985,9,3,298.76978,25.61978416981316,0.30609,0.00000
1985,9,8,299.00587,25.855869064999524,0.29861,0.00000
1985,9,13,298.96109,25.811091272121587,0.35509,0.00000
1985,9,18,298.29149,25.141485874480964,0.30796,0.00000
1985,9,23,298.10701,24.95701089716613,0.35642,0.00000
1985,9,28,297.73726,24.58726464457544,0.32927,0.00000
1985,10,3,297.86483,24.714832219864263,0.34130,0.00000
1985,10,8,297.94987,24.79987027396453,0.31696,0.00000
1985,10,13,297.50465,24.354650979251687,0.32655,0.00000
1985,10,18,296.95599,23.80598764243689,0.33016,0.00000
1985,10,23,296.20406,23.05405807189169,0.35560,0.00000
1985,10,28,295.39541,22.24540612214713,0.42563,0.00000
1985,11,3,294.61127,21.461269943741286,0.51580,0.00000
1985,11,8,294.14316,20.993160706399408,0.46191,0.00000
1985,11,13,293.79459,20.644587123829012,0.45091,0.00000
1985,11,18,292.56721,19.417214819304775,0.65836,0.00000
1985,11,23,291.34224,18.192235663079202,0.41676,0.00000
1985,11,28,290.79549,17.6454921886953,0.48248,0.00000
1985,12,3,290.23767,17.087666455835972,0.20127,0.00000
1985,12,8,290.02245,16.872446543333808,0.26548,0.00000
1985,12,13,289.63345,16.48344533502859,0.20351,0.00000
1985,12,18,289.35559,16.205592958547356,0.21071,0.00000
1985,12,23,289.08851,15.938514952018863,0.22820,0.00000
1985,12,28,288.71493,15.564931980653455,0.34665,0.00000
1986,1,3,288.36395,15.21395348457321,0.29581,0.00000
1986,1,8,287.93856,14.788562538934286,0.25113,0.00000
1986,1,13,287.78033,14.630330266418014,0.22336,0.00000
1986,1,18,287.68032,14.530320918291011,0.22923,0.00000
1986,1,23,287.49633,14.34633363450223,0.26624,0.00000
1986,1,28,287.41271,14.262714851959117,0.27290,0.00000
